Gene,Screen,Plate,Project,Dataset,Image,Phenotype,Phenotype Term Name,Phenotype Term Accession,Phenotype Term Accession URL
KRAS,idr0033-rohban-pathways/screenA (324),41755_illum_corrected,-,-,3250569,enriched for slightly large,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41755_illum_corrected,-,-,3250569,low cell density,decreased cell numbers,CMPO_0000052,http://www.ebi.ac.uk/cmpo/CMPO_0000052
KRAS,idr0033-rohban-pathways/screenA (324),41755_illum_corrected,-,-,3250569,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41755_illum_corrected,-,-,3250577,enriched for slightly large,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41755_illum_corrected,-,-,3250577,low cell density,decreased cell numbers,CMPO_0000052,http://www.ebi.ac.uk/cmpo/CMPO_0000052
KRAS,idr0033-rohban-pathways/screenA (324),41755_illum_corrected,-,-,3250577,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41756,-,-,3224055,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41756,-,-,3224055,enriched for small asymmetric cells,decreased cell size phenotype,CMPO_0000129,http://www.ebi.ac.uk/cmpo/CMPO_0000129
KRAS,idr0033-rohban-pathways/screenA (324),41756,-,-,3224055,enriched for small asymmetric cells,asymmetric cellular component phenotype,CMPO_0000454,http://www.ebi.ac.uk/cmpo/CMPO_0000454
KRAS,idr0033-rohban-pathways/screenA (324),41756,-,-,3224746,enriched for slightly large,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41756,-,-,3224746,low cell density,decreased cell numbers,CMPO_0000052,http://www.ebi.ac.uk/cmpo/CMPO_0000052
KRAS,idr0033-rohban-pathways/screenA (324),41756,-,-,3224746,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41756,-,-,3224052,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41756,-,-,3224052,enriched for small asymmetric cells,decreased cell size phenotype,CMPO_0000129,http://www.ebi.ac.uk/cmpo/CMPO_0000129
KRAS,idr0033-rohban-pathways/screenA (324),41756,-,-,3224052,enriched for small asymmetric cells,asymmetric cellular component phenotype,CMPO_0000454,http://www.ebi.ac.uk/cmpo/CMPO_0000454
KRAS,idr0033-rohban-pathways/screenA (324),41756,-,-,3224749,enriched for slightly large,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41756,-,-,3224749,low cell density,decreased cell numbers,CMPO_0000052,http://www.ebi.ac.uk/cmpo/CMPO_0000052
KRAS,idr0033-rohban-pathways/screenA (324),41756,-,-,3224749,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41756,-,-,3224743,enriched for slightly large,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41756,-,-,3224743,low cell density,decreased cell numbers,CMPO_0000052,http://www.ebi.ac.uk/cmpo/CMPO_0000052
KRAS,idr0033-rohban-pathways/screenA (324),41756,-,-,3224743,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41756,-,-,3224057,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41756,-,-,3224057,enriched for small asymmetric cells,decreased cell size phenotype,CMPO_0000129,http://www.ebi.ac.uk/cmpo/CMPO_0000129
KRAS,idr0033-rohban-pathways/screenA (324),41756,-,-,3224057,enriched for small asymmetric cells,asymmetric cellular component phenotype,CMPO_0000454,http://www.ebi.ac.uk/cmpo/CMPO_0000454
KRAS,idr0033-rohban-pathways/screenA (324),41756,-,-,3224750,enriched for slightly large,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41756,-,-,3224750,low cell density,decreased cell numbers,CMPO_0000052,http://www.ebi.ac.uk/cmpo/CMPO_0000052
KRAS,idr0033-rohban-pathways/screenA (324),41756,-,-,3224750,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41756,-,-,3224054,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41756,-,-,3224054,enriched for small asymmetric cells,decreased cell size phenotype,CMPO_0000129,http://www.ebi.ac.uk/cmpo/CMPO_0000129
KRAS,idr0033-rohban-pathways/screenA (324),41756,-,-,3224054,enriched for small asymmetric cells,asymmetric cellular component phenotype,CMPO_0000454,http://www.ebi.ac.uk/cmpo/CMPO_0000454
KRAS,idr0033-rohban-pathways/screenA (324),41756,-,-,3224748,enriched for slightly large,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41756,-,-,3224748,low cell density,decreased cell numbers,CMPO_0000052,http://www.ebi.ac.uk/cmpo/CMPO_0000052
KRAS,idr0033-rohban-pathways/screenA (324),41756,-,-,3224748,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41756,-,-,3224744,enriched for slightly large,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41756,-,-,3224744,low cell density,decreased cell numbers,CMPO_0000052,http://www.ebi.ac.uk/cmpo/CMPO_0000052
KRAS,idr0033-rohban-pathways/screenA (324),41756,-,-,3224744,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41756,-,-,3224056,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41756,-,-,3224056,enriched for small asymmetric cells,decreased cell size phenotype,CMPO_0000129,http://www.ebi.ac.uk/cmpo/CMPO_0000129
KRAS,idr0033-rohban-pathways/screenA (324),41756,-,-,3224056,enriched for small asymmetric cells,asymmetric cellular component phenotype,CMPO_0000454,http://www.ebi.ac.uk/cmpo/CMPO_0000454
KRAS,idr0033-rohban-pathways/screenA (324),41756,-,-,3224053,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41756,-,-,3224053,enriched for small asymmetric cells,decreased cell size phenotype,CMPO_0000129,http://www.ebi.ac.uk/cmpo/CMPO_0000129
KRAS,idr0033-rohban-pathways/screenA (324),41756,-,-,3224053,enriched for small asymmetric cells,asymmetric cellular component phenotype,CMPO_0000454,http://www.ebi.ac.uk/cmpo/CMPO_0000454
KRAS,idr0033-rohban-pathways/screenA (324),41756,-,-,3224742,enriched for slightly large,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41756,-,-,3224742,low cell density,decreased cell numbers,CMPO_0000052,http://www.ebi.ac.uk/cmpo/CMPO_0000052
KRAS,idr0033-rohban-pathways/screenA (324),41756,-,-,3224742,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41756,-,-,3224050,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41756,-,-,3224050,enriched for small asymmetric cells,decreased cell size phenotype,CMPO_0000129,http://www.ebi.ac.uk/cmpo/CMPO_0000129
KRAS,idr0033-rohban-pathways/screenA (324),41756,-,-,3224050,enriched for small asymmetric cells,asymmetric cellular component phenotype,CMPO_0000454,http://www.ebi.ac.uk/cmpo/CMPO_0000454
KRAS,idr0033-rohban-pathways/screenA (324),41756,-,-,3224051,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41756,-,-,3224051,enriched for small asymmetric cells,decreased cell size phenotype,CMPO_0000129,http://www.ebi.ac.uk/cmpo/CMPO_0000129
KRAS,idr0033-rohban-pathways/screenA (324),41756,-,-,3224051,enriched for small asymmetric cells,asymmetric cellular component phenotype,CMPO_0000454,http://www.ebi.ac.uk/cmpo/CMPO_0000454
KRAS,idr0033-rohban-pathways/screenA (324),41756,-,-,3224745,enriched for slightly large,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41756,-,-,3224745,low cell density,decreased cell numbers,CMPO_0000052,http://www.ebi.ac.uk/cmpo/CMPO_0000052
KRAS,idr0033-rohban-pathways/screenA (324),41756,-,-,3224745,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41756,-,-,3224049,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41756,-,-,3224049,enriched for small asymmetric cells,decreased cell size phenotype,CMPO_0000129,http://www.ebi.ac.uk/cmpo/CMPO_0000129
KRAS,idr0033-rohban-pathways/screenA (324),41756,-,-,3224049,enriched for small asymmetric cells,asymmetric cellular component phenotype,CMPO_0000454,http://www.ebi.ac.uk/cmpo/CMPO_0000454
KRAS,idr0033-rohban-pathways/screenA (324),41756,-,-,3224747,enriched for slightly large,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41756,-,-,3224747,low cell density,decreased cell numbers,CMPO_0000052,http://www.ebi.ac.uk/cmpo/CMPO_0000052
KRAS,idr0033-rohban-pathways/screenA (324),41756,-,-,3224747,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41756_illum_corrected,-,-,3256893,enriched for slightly large,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41756_illum_corrected,-,-,3256893,low cell density,decreased cell numbers,CMPO_0000052,http://www.ebi.ac.uk/cmpo/CMPO_0000052
KRAS,idr0033-rohban-pathways/screenA (324),41756_illum_corrected,-,-,3256893,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41756_illum_corrected,-,-,3255223,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41756_illum_corrected,-,-,3255223,enriched for small asymmetric cells,decreased cell size phenotype,CMPO_0000129,http://www.ebi.ac.uk/cmpo/CMPO_0000129
KRAS,idr0033-rohban-pathways/screenA (324),41756_illum_corrected,-,-,3255223,enriched for small asymmetric cells,asymmetric cellular component phenotype,CMPO_0000454,http://www.ebi.ac.uk/cmpo/CMPO_0000454
KRAS,idr0033-rohban-pathways/screenA (324),41756_illum_corrected,-,-,3256887,enriched for slightly large,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41756_illum_corrected,-,-,3256887,low cell density,decreased cell numbers,CMPO_0000052,http://www.ebi.ac.uk/cmpo/CMPO_0000052
KRAS,idr0033-rohban-pathways/screenA (324),41756_illum_corrected,-,-,3256887,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41756_illum_corrected,-,-,3255226,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41756_illum_corrected,-,-,3255226,enriched for small asymmetric cells,decreased cell size phenotype,CMPO_0000129,http://www.ebi.ac.uk/cmpo/CMPO_0000129
KRAS,idr0033-rohban-pathways/screenA (324),41756_illum_corrected,-,-,3255226,enriched for small asymmetric cells,asymmetric cellular component phenotype,CMPO_0000454,http://www.ebi.ac.uk/cmpo/CMPO_0000454
KRAS,idr0033-rohban-pathways/screenA (324),41756_illum_corrected,-,-,3256892,enriched for slightly large,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41756_illum_corrected,-,-,3256892,low cell density,decreased cell numbers,CMPO_0000052,http://www.ebi.ac.uk/cmpo/CMPO_0000052
KRAS,idr0033-rohban-pathways/screenA (324),41756_illum_corrected,-,-,3256892,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41756_illum_corrected,-,-,3255228,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41756_illum_corrected,-,-,3255228,enriched for small asymmetric cells,decreased cell size phenotype,CMPO_0000129,http://www.ebi.ac.uk/cmpo/CMPO_0000129
KRAS,idr0033-rohban-pathways/screenA (324),41756_illum_corrected,-,-,3255228,enriched for small asymmetric cells,asymmetric cellular component phenotype,CMPO_0000454,http://www.ebi.ac.uk/cmpo/CMPO_0000454
KRAS,idr0033-rohban-pathways/screenA (324),41756_illum_corrected,-,-,3255227,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41756_illum_corrected,-,-,3255227,enriched for small asymmetric cells,decreased cell size phenotype,CMPO_0000129,http://www.ebi.ac.uk/cmpo/CMPO_0000129
KRAS,idr0033-rohban-pathways/screenA (324),41756_illum_corrected,-,-,3255227,enriched for small asymmetric cells,asymmetric cellular component phenotype,CMPO_0000454,http://www.ebi.ac.uk/cmpo/CMPO_0000454
KRAS,idr0033-rohban-pathways/screenA (324),41756_illum_corrected,-,-,3255222,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41756_illum_corrected,-,-,3255222,enriched for small asymmetric cells,decreased cell size phenotype,CMPO_0000129,http://www.ebi.ac.uk/cmpo/CMPO_0000129
KRAS,idr0033-rohban-pathways/screenA (324),41756_illum_corrected,-,-,3255222,enriched for small asymmetric cells,asymmetric cellular component phenotype,CMPO_0000454,http://www.ebi.ac.uk/cmpo/CMPO_0000454
KRAS,idr0033-rohban-pathways/screenA (324),41756_illum_corrected,-,-,3256891,enriched for slightly large,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41756_illum_corrected,-,-,3256891,low cell density,decreased cell numbers,CMPO_0000052,http://www.ebi.ac.uk/cmpo/CMPO_0000052
KRAS,idr0033-rohban-pathways/screenA (324),41756_illum_corrected,-,-,3256891,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41756_illum_corrected,-,-,3256888,enriched for slightly large,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41756_illum_corrected,-,-,3256888,low cell density,decreased cell numbers,CMPO_0000052,http://www.ebi.ac.uk/cmpo/CMPO_0000052
KRAS,idr0033-rohban-pathways/screenA (324),41756_illum_corrected,-,-,3256888,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41756_illum_corrected,-,-,3255230,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41756_illum_corrected,-,-,3255230,enriched for small asymmetric cells,decreased cell size phenotype,CMPO_0000129,http://www.ebi.ac.uk/cmpo/CMPO_0000129
KRAS,idr0033-rohban-pathways/screenA (324),41756_illum_corrected,-,-,3255230,enriched for small asymmetric cells,asymmetric cellular component phenotype,CMPO_0000454,http://www.ebi.ac.uk/cmpo/CMPO_0000454
KRAS,idr0033-rohban-pathways/screenA (324),41756_illum_corrected,-,-,3256895,enriched for slightly large,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41756_illum_corrected,-,-,3256895,low cell density,decreased cell numbers,CMPO_0000052,http://www.ebi.ac.uk/cmpo/CMPO_0000052
KRAS,idr0033-rohban-pathways/screenA (324),41756_illum_corrected,-,-,3256895,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41756_illum_corrected,-,-,3256894,enriched for slightly large,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41756_illum_corrected,-,-,3256894,low cell density,decreased cell numbers,CMPO_0000052,http://www.ebi.ac.uk/cmpo/CMPO_0000052
KRAS,idr0033-rohban-pathways/screenA (324),41756_illum_corrected,-,-,3256894,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41756_illum_corrected,-,-,3256890,enriched for slightly large,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41756_illum_corrected,-,-,3256890,low cell density,decreased cell numbers,CMPO_0000052,http://www.ebi.ac.uk/cmpo/CMPO_0000052
KRAS,idr0033-rohban-pathways/screenA (324),41756_illum_corrected,-,-,3256890,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41756_illum_corrected,-,-,3255224,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41756_illum_corrected,-,-,3255224,enriched for small asymmetric cells,decreased cell size phenotype,CMPO_0000129,http://www.ebi.ac.uk/cmpo/CMPO_0000129
KRAS,idr0033-rohban-pathways/screenA (324),41756_illum_corrected,-,-,3255224,enriched for small asymmetric cells,asymmetric cellular component phenotype,CMPO_0000454,http://www.ebi.ac.uk/cmpo/CMPO_0000454
KRAS,idr0033-rohban-pathways/screenA (324),41756_illum_corrected,-,-,3255225,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41756_illum_corrected,-,-,3255225,enriched for small asymmetric cells,decreased cell size phenotype,CMPO_0000129,http://www.ebi.ac.uk/cmpo/CMPO_0000129
KRAS,idr0033-rohban-pathways/screenA (324),41756_illum_corrected,-,-,3255225,enriched for small asymmetric cells,asymmetric cellular component phenotype,CMPO_0000454,http://www.ebi.ac.uk/cmpo/CMPO_0000454
KRAS,idr0033-rohban-pathways/screenA (324),41756_illum_corrected,-,-,3256889,enriched for slightly large,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41756_illum_corrected,-,-,3256889,low cell density,decreased cell numbers,CMPO_0000052,http://www.ebi.ac.uk/cmpo/CMPO_0000052
KRAS,idr0033-rohban-pathways/screenA (324),41756_illum_corrected,-,-,3256889,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41756_illum_corrected,-,-,3255229,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41756_illum_corrected,-,-,3255229,enriched for small asymmetric cells,decreased cell size phenotype,CMPO_0000129,http://www.ebi.ac.uk/cmpo/CMPO_0000129
KRAS,idr0033-rohban-pathways/screenA (324),41756_illum_corrected,-,-,3255229,enriched for small asymmetric cells,asymmetric cellular component phenotype,CMPO_0000454,http://www.ebi.ac.uk/cmpo/CMPO_0000454
KRAS,idr0033-rohban-pathways/screenA (324),41757,-,-,3229934,enriched for slightly large,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41757,-,-,3229934,low cell density,decreased cell numbers,CMPO_0000052,http://www.ebi.ac.uk/cmpo/CMPO_0000052
KRAS,idr0033-rohban-pathways/screenA (324),41757,-,-,3229934,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41757,-,-,3229930,enriched for slightly large,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41757,-,-,3229930,low cell density,decreased cell numbers,CMPO_0000052,http://www.ebi.ac.uk/cmpo/CMPO_0000052
KRAS,idr0033-rohban-pathways/screenA (324),41757,-,-,3229930,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41757,-,-,3229926,enriched for slightly large,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41757,-,-,3229926,low cell density,decreased cell numbers,CMPO_0000052,http://www.ebi.ac.uk/cmpo/CMPO_0000052
KRAS,idr0033-rohban-pathways/screenA (324),41757,-,-,3229926,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41757,-,-,3227844,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41757,-,-,3227844,enriched for small asymmetric cells,decreased cell size phenotype,CMPO_0000129,http://www.ebi.ac.uk/cmpo/CMPO_0000129
KRAS,idr0033-rohban-pathways/screenA (324),41757,-,-,3227844,enriched for small asymmetric cells,asymmetric cellular component phenotype,CMPO_0000454,http://www.ebi.ac.uk/cmpo/CMPO_0000454
KRAS,idr0033-rohban-pathways/screenA (324),41757,-,-,3227840,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41757,-,-,3227840,enriched for small asymmetric cells,decreased cell size phenotype,CMPO_0000129,http://www.ebi.ac.uk/cmpo/CMPO_0000129
KRAS,idr0033-rohban-pathways/screenA (324),41757,-,-,3227840,enriched for small asymmetric cells,asymmetric cellular component phenotype,CMPO_0000454,http://www.ebi.ac.uk/cmpo/CMPO_0000454
KRAS,idr0033-rohban-pathways/screenA (324),41757,-,-,3229929,enriched for slightly large,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41757,-,-,3229929,low cell density,decreased cell numbers,CMPO_0000052,http://www.ebi.ac.uk/cmpo/CMPO_0000052
KRAS,idr0033-rohban-pathways/screenA (324),41757,-,-,3229929,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41757,-,-,3229933,enriched for slightly large,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41757,-,-,3229933,low cell density,decreased cell numbers,CMPO_0000052,http://www.ebi.ac.uk/cmpo/CMPO_0000052
KRAS,idr0033-rohban-pathways/screenA (324),41757,-,-,3229933,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41757,-,-,3227845,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41757,-,-,3227845,enriched for small asymmetric cells,decreased cell size phenotype,CMPO_0000129,http://www.ebi.ac.uk/cmpo/CMPO_0000129
KRAS,idr0033-rohban-pathways/screenA (324),41757,-,-,3227845,enriched for small asymmetric cells,asymmetric cellular component phenotype,CMPO_0000454,http://www.ebi.ac.uk/cmpo/CMPO_0000454
KRAS,idr0033-rohban-pathways/screenA (324),41757,-,-,3229928,enriched for slightly large,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41757,-,-,3229928,low cell density,decreased cell numbers,CMPO_0000052,http://www.ebi.ac.uk/cmpo/CMPO_0000052
KRAS,idr0033-rohban-pathways/screenA (324),41757,-,-,3229928,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41757,-,-,3227839,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41757,-,-,3227839,enriched for small asymmetric cells,decreased cell size phenotype,CMPO_0000129,http://www.ebi.ac.uk/cmpo/CMPO_0000129
KRAS,idr0033-rohban-pathways/screenA (324),41757,-,-,3227839,enriched for small asymmetric cells,asymmetric cellular component phenotype,CMPO_0000454,http://www.ebi.ac.uk/cmpo/CMPO_0000454
KRAS,idr0033-rohban-pathways/screenA (324),41757,-,-,3229927,enriched for slightly large,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
KRAS,idr0033-rohban-pathways/screenA (324),41757,-,-,3229927,low cell density,decreased cell numbers,CMPO_0000052,http://www.ebi.ac.uk/cmpo/CMPO_0000052
KRAS,idr0033-rohban-pathways/screenA (324),41757,-,-,3229927,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
